date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:45	68287/68287	---M-Z	200	added ('OK')	text/html	etag:%222d28-6310a668581c6%22	https://geoula-kids.fr/	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/index.html	(from )
02:09:45	115/115	---MC-	200	added ('OK')	text/plain	date:Mon,%2024%20Mar%202025%2001:09:45%20GMT	https://geoula-kids.fr/robots.txt		(from )
02:09:46	79479/79479	---M-Z	200	added ('OK')	text/css	etag:%2213677-6309fa8853687-gzip%22	https://geoula-kids.fr/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.2.2	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend605a.css	(from https://geoula-kids.fr/)
02:09:46	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-6309fa8848aa7-gzip%22	https://geoula-kids.fr/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.2.2	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor605a.css	(from https://geoula-kids.fr/)
02:09:46	3724/3724	---MC-	200	added ('OK')	application/rss+xml	etag:%22082f803b43c3244777c5a303b10afea8%22	https://geoula-kids.fr/feed/	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/feed/index.html	(from https://geoula-kids.fr/)
02:09:46	53256/53256	---M-Z	200	added ('OK')	text/css	etag:%22d008-631043dc30075-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/css/frontend.min1b64.css	(from https://geoula-kids.fr/)
02:09:46	1318/1318	---M-Z	200	added ('OK')	text/css	etag:%22526-62ed82a20de06-gzip%22	https://geoula-kids.fr/wp-content/uploads/elementor/css/post-18.css?ver=1740355814	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/uploads/elementor/css/post-18413b.css	(from https://geoula-kids.fr/)
02:09:46	149/149	---M-Z	200	added ('OK')	text/css	etag:%2295-631043dc5ee77-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.min1b64.css	(from https://geoula-kids.fr/)
02:09:47	254/254	---M-Z	200	added ('OK')	text/css	etag:%22fe-631043dc32f55-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/css/widget-image.min1b64.css	(from https://geoula-kids.fr/)
02:09:47	265/265	---M-Z	200	added ('OK')	text/css	etag:%22109-631043dc5ee77-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.min1b64.css	(from https://geoula-kids.fr/)
02:09:47	745/745	---MC-	200	added ('OK')	application/rss+xml	etag:%22082f803b43c3244777c5a303b10afea8%22	https://geoula-kids.fr/comments/feed/	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/comments/feed/index.html	(from https://geoula-kids.fr/)
02:09:47	340/340	---M-Z	200	added ('OK')	text/css	etag:%22154-631043dc5cf37-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min1b64.css	(from https://geoula-kids.fr/)
02:09:47	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-631043dc32f55-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/css/widget-heading.min1b64.css	(from https://geoula-kids.fr/)
02:09:48	1833/1833	---M-Z	200	added ('OK')	text/css	etag:%22729-631043dc33ef5-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/css/widget-spacer.min1b64.css	(from https://geoula-kids.fr/)
02:09:48	180/180	---M-Z	200	added ('OK')	text/css	etag:%22b4-631043dc5ee77-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min1b64.css	(from https://geoula-kids.fr/)
02:09:48	213/213	---M-Z	200	added ('OK')	text/css	etag:%22d5-631043dc5ee77-gzip%22	https://geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css?ver=3.28.1	C:/Users/yaaco/Downloads/site%20yoni/geoula-kids.fr/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min1b64.css	(from https://geoula-kids.fr/)
